id,333,333bf,222,444,333oh,pyram,name (competitor w/o WCAID)
2015TAKA06,X,X,X,X,X,X,
2015OUCH01,X,,,,X,X,
2016UEDA01,X,,,X,,,
2015TAKA07,X,,X,,,,
2008TAKA01,X,X,,X,X,X,
2014ITOT01,X,,X,X,,,
2011IIDA01,X,,,X,X,,
2015DAIN01,X,,X,X,,,
2007HIRO01,X,,,X,,,
2014ASHI01,X,,,,,,
2010HORI02,X,X,,,,,
2007SUGA01,X,,X,X,X,X,
2014OKUM01,X,,,,,,
2012KOMA02,X,,,,,,
2010SICH01,X,,,X,X,,
2006NISH01,X,,,,,X,
2016YASO01,X,,X,X,X,,
2015TAKE01,X,,X,X,,,
2016SUZU04,X,,,X,,,
2006ARAK01,X,,X,,,,
2009FUSH01,X,,,,X,,
2012HINO01,X,X,,,,,
2015HATT01,X,,,X,,,
2006MURA01,,X,,,,,
2014DOMO01,X,,,,,,
2009KUDO01,X,,,X,,,
2007YOSH01,X,,,X,,,
2014ISHI02,X,,,X,,,
2011IRIF01,X,,X,X,X,,
2009ISHI01,X,,,X,,,
2006HASE01,X,,,,,,
2007OMUR01,X,X,,X,X,,
2014HARA03,X,,,X,,,
2010TERA01,X,X,,,,X,
2010SAIT02,X,X,,,,,
2014YAMA02,X,,X,X,X,X,
2014KABA01,X,,,X,,X,
2013SHIM02,X,X,X,,X,X,
2005SUSE01,X,X,X,X,,,
2015UCHI01,X,,X,,,,
2008ITOH01,X,,X,,,X,
2009OKAD01,X,X,,,,,
2016WADA01,X,X,X,X,,,
2015SHIB02,X,,,,,,
2006ARAK02,X,,,,,,
2016TAKA07,X,,,,,X,
2010TANA02,,,,,,X,
2009KOBA02,X,,X,,,X,
2016TAKA03,X,,,,,,
2014MARU05,X,,,,,,
2012SOHO01,X,,X,X,,,
2015YAMA05,X,,,,,,
2013OHTA01,,,,X,,,
2008UENO01,X,,X,X,X,,
2015MUKA01,X,,,,,,
2016SAKU01,X,,,,,,
2016KURA01,X,,,X,,,
2014AKAB01,X,,,,,,
2012MORI01,X,X,,,,,
2016YAGI01,X,,,,,,
2016HASE01,,,X,,,X,
2016TANA04,,,X,,,,
2007ITOT01,X,,,,,X,
2016AOKI01,X,,,,,,
2010MORO01,X,,,X,,,
2013KODA01,X,X,X,X,,,
2013MATS02,X,X,X,X,X,,
2015TAKA04,X,X,X,X,,,
2015ITOY02,X,X,,,,,
2016ONOT01,X,,,,,,
2016BISH01,X,X,X,,X,,
2005UEDA01,,,,X,,,
2008MATS04,X,X,,,,,
2010YAMA04,X,X,,,,,
2012HIRA01,X,X,,X,X,,
2016OSAW01,X,X,X,,X,X,
2016SASA03,X,,,,,,
2011MORI01,X,X,,,,,
2010AKAR01,X,,,,,,
2016YAMA03,X,,,,,,
2012MATS02,X,,X,,X,X,
2015AOKI02,X,,,,,,
2007TSUK01,X,,,,,,
2013SUDO01,X,,,,,,
2015HASE01,X,,,,,,
2016DEZA01,X,,,,,,
2016DEZA02,X,,,,,,
2016DEZA03,X,,,,,,
2016NIIG01,X,,,,,X,
2016SAIT01,X,,,,,,
2016SUKE01,,,,,,X,
2015MATS01,X,,X,,,,
2015NUPU01,X,,X,,,,
2014SUZU03,X,X,,,,,
2008HOSO01,X,,,X,,,
2006HIGO01,X,,,X,X,,
2016IBAR06,X,,X,,,,
2016IKAR01,X,,,,,,
2016TANI05,X,,X,X,,X,
2005KOSE01,X,,,,,,
2016XIAN08,X,,X,,,,
2016WATA01,,,X,X,,,
2014MATS01,X,,,,,,
2014NISH05,X,,,X,,,
2015MORI01,X,,,,,,
2008FUKA01,X,X,,,,,
0,X,,,,,,Daichi Miyake
0,X,,X,,,,Morimichi Kikuchi
0,X,,,,,,Nobuhito Yoshizawa
0,X,,X,X,X,,Hiroki Sato
0,X,,X,,,,Shu Hamasuna
0,X,,,,,,Naruki Taniguchi
0,X,,,,,X,Hayato Iida
0,,,X,,,,Ryuya Shihara
0,X,,X,X,,,Yu Morita
0,X,,,,,,Kotarou Murakami
0,X,,,,,,Eitarou Murakami
0,X,X,,,,,Ryutaro Miyazaki
0,X,X,,,,,Shogo Yoshida
0,X,,,,,,Hideo Miyahara
0,X,,,,,,Kibo Shimazu
0,X,,,,,,Tatsuto Igarashi
0,X,,,,,,Akihito Suzuki
0,X,,,,,,Kaito Matsuyama
0,X,,,,,,Ryo Osako
0,X,,,,,,Yukiya Asami
0,X,,,,,,Ryota Hagihara
0,X,,,,,,Yoshihiro Takahashi
0,X,,X,X,,X,Amey Gaba
0,X,,,,,,Ryuta Uchida
0,X,,,,,,Yoshinobu Kowase
0,X,,,,,,Hayato Ikeda
0,X,,,,,,Shota Inoue
0,X,,X,,,,Kazuya Nobata
0,X,,,,,X,Ray Honeyman
0,X,,,,,,Mika Nanba
0,X,,,,,,Kasumi Koyama
0,X,,X,,,,Shogo Enomoto
0,X,,X,,,,Yoshiki Homma
0,X,,,,,,Akito Takei
0,X,,,,,,Takuya Oguri
0,X,,,,,,Koichi Takeda
0,X,,,,,,Shingo Ito
0,X,,,,,,Tetsuho Ito
0,X,,,,,,Yuuto Nomura
0,X,,,,,,Ami Nakamura
0,,,X,,,X,Yuito Nozaki
0,X,,,,,,Koji Matsuno
0,X,,,,,,Uta Wakamatu
0,X,,,,,,Anzu Yanagida
0,X,,X,,,,Hiroki Tanaka
0,X,,,,,,Ryogo Takeda
0,X,,,,,,Shogo Takeda
0,X,,,,,,Kanjin Saito
0,X,,,,,X,Yoshiteru Toki
0,X,,,,,,Shoko Kondo
0,X,,,,,,Shu Kinugasa
0,X,,,X,,,Taku Sasaki
0,X,,,,,,Mitsumasa Sato
0,X,,,,,,Yuya Tanaka
0,X,,,,,,Tomorou Mochida
0,X,,,,,,Tomohiro Yasukawa
0,X,,,,,,Kazuhiro Takeda
0,X,,,,,,Rin Miyauchi
0,X,,,,,,Masaki Satoh
0,X,,,,,,Tatsuya Suzuki
0,X,,,,,,Hiroshi Sawakuri
0,X,,,,,,Masato Ise
0,X,,,,,,Koki Shibata
0,X,,,,,,Shido Oka
0,,,X,,,,Kazunori Yoneoka
0,X,,,,,,Naruse Toru
0,X,,,,,,Toru Kurihara
0,,,X,X,,,Takashi Okano
0,X,,,,,,Yoshiaki Watanabe
0,X,,,,,,Riko Shimizu
0,X,,,,,,Shoji Ueda
0,X,,,,,,Masashi Ueda
0,X,,,,,,Yuki Mori
0,X,,,X,X,,Ryosuke Eda
0,X,,,,,,Koya Matsuishi
0,X,,,,,,Takashi Takaoka
0,X,,,,,,Kei Takanobu
